影院名称,影院专资,所属城市
SFC上影影城（杭州下沙IMAX店）,33019291,杭州
丁桥横店电影城,33019301,杭州
浙影时代影城·和达店,33017301,杭州
万达影城（水晶城IMAX店）,33018101,杭州
万达影城（拱墅万达广场IMAX店）,33018001,杭州
佳映IMAX影城,33019101,杭州
时代凤凰国际影城,33019001,杭州
UME影城（杭州城西店）,33012501,杭州
杭州嘉富世纪影城,33016201,杭州
AMG海上明珠影城（杭州西湖银泰店）,33019251,杭州
金逸国际影城-杭州天虹购物中心店,33018501,杭州
德信影城（万泰城店）,33018801,杭州
幸福蓝海莱纳星影城（加州阳光店）,33013601,杭州
杭州下沙横店电影城,33019211,杭州
星美影商城（杭州富阳新晨店）,33018701,杭州
浙影时代影城·众安广场店,33013001,杭州
浙影时代影城·庆春店,33010101,杭州
浙影时代影城·翠苑店,33010201,杭州
星美影商城（杭州黄龙店）,33017501,杭州
杭州金逸国际影城南宋御街店,33015401,杭州
瓜沥金字塔国际影城,33015301,杭州
杭州比高电影城（大河店）,33014501,杭州
浙影时代影城·西湖文化广场店（IMAX激光）,33014201,杭州
北京金逸影城北京新都店,11065801,北京
东四工人文化宫,11010703,北京
中影国际影城（千禧街CINITY LED店）,11079901,北京
幸福蓝海国际影城（北京房山店）,11110711,北京
北京剧院,11051202,北京
鲁信影城北京立水桥店,11058701,北京
大地影院（北京菓岭假日店）,11086501,北京
环球国际影城（房山欢乐城店）,11081801,北京
劲松电影院,11050601,北京
国图艺术中心,11069001,北京
保利国际影城-北京万源店,11071101,北京
北京横店电影城北京王府井店,11014501,北京
万达影城（北京昌平保利光魔店）,11083701,北京
海淀工人文化宫,11060303,北京
新影联·东环影城,11010201,北京
保利国际影城-北京缤纷城店,11083501,北京
大料国际影城,11085501,北京
北京百丽宫影城（国贸店）,11056801,北京
CGV影城(顺义ScreenX店),11089701,北京
新影联东申影城 (4K激光巨幕 姚家园店),11059801,北京
北京耀莱成龙影城（慈云寺店）,11055101,北京
唐阁影城（亦庄力宝华联店）,11140671,北京
万达影城（通州万达广场IMAX+杜比影院店）,11080581,北京
北京耀莱成龙国际影城（王府井店）,11010661,北京
北京耀莱成龙影城（西红门店）,11140651,北京
北京百老汇电影中心（万国城店）,11011001,北京
博纳国际影城方庄店,11077901,北京
北京耀莱成龙影城（五棵松店）,11064201,北京
新影联金宝影城,11011101,北京
UME影城（安贞DTSX店）,11015502,北京
北京华谊兄弟影院IMAX洋桥店,11073601,北京
金逸影城（双桥CGS中国巨幕厅店）,11052001,北京
保利国际影城-北京龙旗广场店,11089201,北京
万达影城通州银兴光魔店,11080551,北京
大地影院（北京顺义隆华CINITY店）,11120681,北京
北京熙旺影城,11100591,北京
UME影城（华星IMAX店）,11063601,北京
新华国际影城大钟寺店,11068801,北京
万达影城石景山万达广场店,11071001,北京
CBD万达广场店,11051401,北京
UME影城（双井CINITY巨幕店）,11051901,北京
